Path	Lines of Code
App.js	44
components/BarChart.jsx	127
components/GeographyChart.jsx	83
components/Header.jsx	23
components/LineChart.jsx	114
components/PieChart.jsx	107
components/ProgressCircle.jsx	20
components/StatBox.jsx	39
components/__test__/Header.test.jsx	20
components/__test__/LineChart.test.jsx	33
components/__test__/StatBox.test.jsx	22
data/barData.js	79
data/contactsData.js	123
data/geographyData.js	686
data/invoicesData.js	66
data/lineData.js	165
data/mockData.js	8
data/pieData.js	32
data/teamData.js	74
data/transactionsData.js	50
index.js	12
scenes/bar/index.jsx	14
scenes/calendar/calendar.jsx	123
scenes/contacts/index.jsx	99
scenes/dashboard/components/CampaignCard.jsx	26
scenes/dashboard/components/GeographyTrafficCard.jsx	18
scenes/dashboard/components/RevenueChartCard.jsx	38
scenes/dashboard/components/SalesQuantityCard.jsx	21
scenes/dashboard/components/StatsRow.jsx	74
scenes/dashboard/components/TransactionsCard.jsx	53
scenes/dashboard/index.jsx	54
scenes/faq/index.jsx	83
scenes/form/index.jsx	153
scenes/geography/index.jsx	21
scenes/global/Sidebar.jsx	235
scenes/global/Topbar.jsx	50
scenes/invoices/index.jsx	80
scenes/line/index.jsx	14
scenes/pie/index.jsx	14
scenes/team/index.jsx	134
test/renderWithTheme.jsx	15
test/setupTests.js	9
theme.js	203
utils/__test__/filters.test.js	57
utils/__test__/formatters.test.js	43
utils/__test__/stats.test.js	45
utils/filters.js	29
utils/formatters.js	39
utils/stats.js	23
validation/teamSchemas.js	15
