path	# lines of code
scenes/form/index.jsx	153
scenes/calendar/calendar.jsx	123
scenes/invoices/index.jsx	80
scenes/faq/index.jsx	83
scenes/contacts/index.jsx	99
scenes/pie/index.jsx	14
scenes/dashboard/components/TransactionsCard.jsx	53
scenes/dashboard/components/RevenueChartCard.jsx	38
scenes/dashboard/components/SalesQuantityCard.jsx	21
scenes/dashboard/components/CampaignCard.jsx	26
scenes/dashboard/components/StatsRow.jsx	74
scenes/dashboard/components/GeographyTrafficCard.jsx	18
scenes/dashboard/index.jsx	54
scenes/team/index.jsx	134
scenes/line/index.jsx	14
scenes/bar/index.jsx	14
scenes/global/Sidebar.jsx	235
scenes/global/Topbar.jsx	50
scenes/geography/index.jsx	21
test/renderWithTheme.jsx	15
test/setupTests.js	9
index.js	12
theme.js	203
utils/__test__/stats.test.js	45
utils/__test__/filters.test.js	57
utils/__test__/formatters.test.js	43
utils/formatters.js	39
utils/filters.js	29
utils/stats.js	23
components/Header.jsx	23
components/BarChart.jsx	127
components/LineChart.jsx	114
components/__test__/Header.test.jsx	20
components/__test__/LineChart.test.jsx	33
components/__test__/StatBox.test.jsx	22
components/PieChart.jsx	107
components/ProgressCircle.jsx	20
components/GeographyChart.jsx	83
components/StatBox.jsx	39
data/geographyData.js	686
data/teamData.js	74
data/contactsData.js	123
data/mockData.js	8
data/barData.js	79
data/lineData.js	165
data/pieData.js	32
data/transactionsData.js	50
data/invoicesData.js	66
App.js	44
validation/teamSchemas.js	15
