Metric		Current
TOTAL_NUMBER_OF_FILES		52
NUMBER_OF_FILES_MAIN		50
LINES_OF_CODE_MAIN		3,709
NUMBER_OF_FILES_MAIN_EXT_JSX		30
LINES_OF_CODE_MAIN_EXT_JSX		1,907
NUMBER_OF_FILES_MAIN_EXT_JS		20
LINES_OF_CODE_MAIN_EXT_JS		1,802
NUMBER_OF_FILES_TEST		0
LINES_OF_CODE_TEST		0
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		0
NUMBER_OF_FILES_GENERATED		0
LINES_OF_CODE_GENERATED		0
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		0
LINES_OF_CODE_OTHER		0
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_FORM		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_FORM		153
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_FORM_EXT_JSX		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_FORM_EXT_JSX		153
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_CALENDAR		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_CALENDAR		123
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_CALENDAR_EXT_JSX		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_CALENDAR_EXT_JSX		123
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_INVOICES		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_INVOICES		80
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_INVOICES_EXT_JSX		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_INVOICES_EXT_JSX		80
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_FAQ		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_FAQ		83
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_FAQ_EXT_JSX		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_FAQ_EXT_JSX		83
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_CONTACTS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_CONTACTS		99
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_CONTACTS_EXT_JSX		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_CONTACTS_EXT_JSX		99
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_PIE		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_PIE		14
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_PIE_EXT_JSX		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_PIE_EXT_JSX		14
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_DASHBOARD_COMPONENTS		6
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_DASHBOARD_COMPONENTS		230
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_SCENES_DASHBOARD_COMPONENTS_EXT_JSX		6
