Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		58
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		33
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		18
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_NEGLIGIBLE_RISK_LOC		40
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_LOW_RISK_LOC		33
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_MEDIUM_RISK_LOC		18
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_UTILS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_NEGLIGIBLE_RISK_LOC		18
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_DATA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		58
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		33
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		18
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
