Metric		Current
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_FORM		153
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_CALENDAR		123
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_INVOICES		80
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_FAQ		83
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_CONTACTS		99
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_PIE		14
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_DASHBOARD_COMPONENTS		230
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_DASHBOARD		54
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_TEAM		134
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_LINE		14
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_BAR		14
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_GLOBAL		285
LINES_OF_CODE_DECOMPOSITION_PRIMARY_SCENES_GEOGRAPHY		21
LINES_OF_CODE_DECOMPOSITION_PRIMARY_TEST		24
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT		259
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UTILS__TEST		145
LINES_OF_CODE_DECOMPOSITION_PRIMARY_UTILS		91
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS		513
LINES_OF_CODE_DECOMPOSITION_PRIMARY_COMPONENTS__TEST		75
LINES_OF_CODE_DECOMPOSITION_PRIMARY_DATA		1,283
LINES_OF_CODE_DECOMPOSITION_PRIMARY_VALIDATION		15
